idfrom;from;idto;to;perc_lig;ia
2603454;Camaragibe;2610608;Paudalho;0.0342308883;5365.2125038688
2603454;Camaragibe;2609600;Olinda;15;2351.04
2603454;Camaragibe;2608909;Limoeiro;0.0148560817;2328.4828226555
2603454;Camaragibe;2608453;Lagoa do Carro;0.0134014237;2100.4855462705
2603454;Camaragibe;2609501;Nazaré da Mata;0.0083333333;1306.1333333333
2603454;Camaragibe;2615508;Tracunhaém;0.0046270504;725.2253791396
2603454;Camaragibe;2604106;Caruaru;0.0016666667;261.2266666667
2603454;Camaragibe;2616407;Vitória de Santo Antão;0.0016666667;261.2266666667
2603504;Camocim de São Félix;2604106;Caruaru;0.6975722524;12993.6783463216
2603504;Camocim de São Félix;2611606;Recife;0.1925925926;3587.4222222222
2603504;Camocim de São Félix;2601904;Bezerros;0.0326659478;608.4686100083
2603504;Camocim de São Félix;2602308;Bonito;0.024474342;455.8835685929
2603504;Camocim de São Félix;2612000;Sairé;0.0123511248;230.0644022938
2603504;Camocim de São Félix;2604502;Chã Grande;0.0109787776;204.5016909278
2603504;Camocim de São Félix;2606408;Gravatá;0.0109787776;204.5016909278
2603504;Camocim de São Félix;2616407;Vitória de Santo Antão;0.0109787776;204.5016909278
2603504;Camocim de São Félix;2612455;Santa Cruz;0.0074074074;137.9777777778
2603603;Camutanga;2611606;Recife;0.3314814815;2827.537037037
2603603;Camutanga;2615300;Timbaúba;0.3037037037;2590.5925925926
2603603;Camutanga;2607653;Itambé;0.1314814815;1121.537037037
2603603;Camutanga;2605509;Ferreiros;0.037037037;315.9259259259
2603603;Camutanga;2604007;Carpina;0.0222222222;189.5555555556
2603603;Camutanga;2606200;Goiana;0.0092592593;78.9814814815
2603603;Camutanga;2604106;Caruaru;0.0037037037;31.5925925926
2603702;Canhotinho;2606002;Garanhuns;0.5123809524;12724.980952381
2603702;Canhotinho;2611606;Recife;0.19;4718.65
2603702;Canhotinho;2604106;Caruaru;0.0852721088;2117.7328231293
2603702;Canhotinho;2613206;São João;0.0275510204;684.2295918367
2603702;Canhotinho;2601003;Angelim;0.0248979592;618.3408163265
2603702;Canhotinho;2601706;Belo Jardim;0.0233333333;579.4833333333
2603702;Canhotinho;2611507;Quipapá;0.0098979592;245.8158163265
2603801;Capoeiras;2606002;Garanhuns;0.4970131422;9964.119474313
2603801;Capoeiras;2611606;Recife;0.2259259259;4529.362962963
2603801;Capoeiras;2601201;Arcoverde;0.0641577061;1286.2336917563
2603801;Capoeiras;2604106;Caruaru;0.0574074074;1150.9037037037
2603801;Capoeiras;2613008;São Bento do Una;0.0253285544;507.7868578256
2603801;Capoeiras;2603207;Caetés;0.0240740741;482.637037037
2603801;Capoeiras;2610806;Pedra;0.0197132616;395.2114695341
2603801;Capoeiras;2616001;Venturosa;0.0197132616;395.2114695341
2603801;Capoeiras;2608255;Jucati;0.0055555556;111.3777777778
2603801;Capoeiras;2610905;Pesqueira;0.0055555556;111.3777777778
2603900;Carnaíba;2611606;Recife;0.3033333333;5912.27
2603900;Carnaíba;2600104;Afogados da Ingazeira;0.2688939198;5241.0113906856
2603900;Carnaíba;2613909;Serra Talhada;0.2091461837;4076.4682664942
2603900;Carnaíba;2604106;Caruaru;0.0723333333;1409849
2603900;Carnaíba;2605608;Flores;0.044992238;876.9437115136
2603900;Carnaíba;2601201;Arcoverde;0.0233333333;454.79
2603900;Carnaíba;2603405;Calumbi;0.0192755498;375.6997412678
2603900;Carnaíba;2615706;Triunfo;0.0126666667;246886
2603900;Carnaíba;2612505;Santa Cruz do Capibaribe;0.0116666667;227395
2603900;Carnaíba;2615409;Toritama;0.0066666667;129.94
2603900;Carnaíba;2611533;Quixaba;6;116946
2603900;Carnaíba;2614600;Tabira;0.0033333333;64.97
2603926;Carnaubeira da Penha;2613909;Serra Talhada;0.3497741644;4489.7011743451
2603926;Carnaubeira da Penha;2609303;Mirandiba;0.1876693767;2408.9241192412
2603926;Carnaubeira da Penha;2611606;Recife;0.1166666667;1497.5333333333
2603926;Carnaubeira da Penha;2605707;Floresta;0.1032971996;1325.9228545619
2603926;Carnaubeira da Penha;2612208;Salgueiro;0.0981481481;1259.8296296296
2603926;Carnaubeira da Penha;2611101;Petrolina;0.037037037;475.4074074074
2603926;Carnaubeira da Penha;2604106;Caruaru;0.0277777778;356.5555555556
2603926;Carnaubeira da Penha;2613503;São José do Belmonte;0.0037037037;47.5407407407
2604007;Carpina;2611606;Recife;0.6333333333;52485.6
2604007;Carpina;2608909;Limoeiro;0.0917956013;7607.2850695662
2604007;Carpina;2613701;São Lourenço da Mata;0.0564064591;4674.5160762306
2604007;Carpina;2610608;Paudalho;0.0444834171;3686.4297439495
2604007;Carpina;2604106;Caruaru;0.0444444444;3683.2
2604007;Carpina;2603454;Camaragibe;0.0392227548;3250.468139834
2604007;Carpina;2609501;Nazaré da Mata;0.037037037;3069.3333333333
2604007;Carpina;2608453;Lagoa do Carro;0.0236473232;1959.7009704197
2604007;Carpina;2616407;Vitória de Santo Antão;0.0166666667;1381.2
